original_product,best_match,similarity_score,noon_ref,noon_prices,amazon_ref,amazon_prices
Activ Special Sports Shoes ,Kids 3-Stripes Shoes,0.5106382978723405,https://www.noon.com/egypt-en/special-sports-shoes/Z4845740D1806E833DA91Z/p/?o=z4845740d1806e833da91z-3,483,https://www.amazon.eg/-/en/Amoun-Kids-3-Stripes-Shoes-Size/dp/B0DCZV3JYZ,235
Onda O2 NEW slide slipper for Men ,Slip On Socks With Light And Flexible Sole For Men,0.45238095238095233,https://www.noon.com/egypt-en/o2-new-slide-slipper-for-men/Z564EB29996A775BDB5B7Z/p/?o=z564eb29996a775bdb5b7z-5,172,https://www.amazon.eg/-/en/ROMBA-SPORT-Sneaker-Flexible-Light/dp/B0D435MWX6,242
Adidas Response Super 3.0 Running Shoes ,Men Curre-2 11450 Running Shoe -,0.5833333333333333,https://www.noon.com/egypt-en/response-super-3-0-running-shoes/ZF8B2849FD88C07859601Z/p/?o=zf8b2849fd88c07859601z-1,"4,465",https://www.amazon.eg/-/en/Diadora-Men-Curre-11450-Running/dp/B0BZ59NY7M,"1,245"
Adidas Ultrabounce Running Shoes ,Men Nitro - 11452 Running Shoe -,0.5538461538461539,https://www.noon.com/egypt-en/ultrabounce-running-shoes/ZB9FA01C25A3B01A6CD0FZ/p/?o=zb9fa01c25a3b01a6cd0fz-6,"4,146",https://www.amazon.eg/-/en/Diadora-Men-Nitro-11452-Running/dp/B0BZ5DHN6B,"1,195"
Adidas Alphaboost V1 Running Shoes ,Men Nitro - 11452 Running Shoe -,0.5373134328358209,https://www.noon.com/egypt-en/alphaboost-v1-running-shoes/Z6A41478AE82CEC33C6DEZ/p/?o=z6a41478ae82cec33c6dez-1,"5,549",https://www.amazon.eg/-/en/Diadora-Men-Nitro-11452-Running/dp/B0BZ5DHN6B,"1,195"
DeFacto Woman Sport Shoes ,Men's Cai Slip On Shoes,0.4897959183673469,https://www.noon.com/egypt-en/woman-sport-shoes/ZD7FA2459D188905C0236Z/p/?o=zd7fa2459d188905c0236z-2,"1,509",https://www.amazon.eg/-/en/Mintra-Mens-Slip-Shoes-Blue/dp/B0BYJW5Q3T,499
Activ Men Soccer Shoes ,Men Shoes,0.5625,https://www.noon.com/egypt-en/men-soccer-shoes/Z1C8A10CCBC66C75B68B8Z/p/?o=z1c8a10ccbc66c75b68b8z-3,490,https://www.amazon.eg/-/en/Men-Shoes-41-Black-N700/dp/B0D5MGHYPP,560
"SportQ A set of multiple products from SportQ to help you in exercising, a large bag, a shoe pocket, a rack, a protein shaker, a weightlifting barbell, and a weightlifting knee. ",Speed Up Runer Men's Speed Up Runer Tartan Wastars Football Shoes All Court Training Shoes Adult Football Sneakers,0.37671232876712324,https://www.noon.com/egypt-en/a-set-of-multiple-products-from-sportq-to-help-you-in-exercising-a-large-bag-a-shoe-pocket-a-rack-a-protein-shaker-a-weightlifting-barbell-and-a-weightlifting-knee/Z84A589F18CC644CBFAE2Z/p/?o=z84a589f18cc644cbfae2z-1,325,https://www.amazon.eg/-/en/Tartan-Wastars-Training-Football-Sneakers/dp/B0DBF3JWTJ,269
DejaVu Pique Patterned Pumps With Tecap Statement Belt - Black ,Testa Toro Washable Clean Suede Padded Inside with Heel Support Foam Brush - Testa Toro,0.4,https://www.noon.com/egypt-en/pique-patterned-pumps-with-tecap-statement-belt-black/Z5F2AE6B734BDC6FC35EDZ/p/?o=z5f2ae6b734bdc6fc35edz-2,"1,090",https://www.amazon.eg/-/en/Testa-Toro-Washable-Padded-Support/dp/B0BZDX15BV,299
Adidas Unisex Adilette Shower Slides ,Men's Genuine Leather Slip On Shoes,0.4722222222222222,https://www.noon.com/egypt-en/unisex-adilette-shower-slides/ZD9F8426AC84E8E55817FZ/p/?o=zd9f8426ac84e8e55817fz-4,"1,343",https://www.amazon.eg/-/en/Genuine-Leather-Shoes-Medium-Black/dp/B0CVFRXV3R,539
